사업장명,정제도로명주소
율암동 8통경로당,대구광역시 동구 범안로 922-37
금사리하이빌 노인정,대구광역시 동구 해동로 254
율암동 8통경로당,대구광역시 동구 범안로 922-37
대경넥스빌경로당,대구광역시 동구 안심로 400
대암경로당,대구광역시 동구 둔산로 328
동화해오름타운 노인정,대구광역시 동구 동호로 89
동화해오름타운경로당,대구광역시 동구 동호로 89
신천주공그린빌3단지 경로당,대구광역시 동구 동부로 20
영조아름다운나날1단지 노인정,대구광역시 동구 안심로 402
영조아름다운나날3단지경로당,대구광역시 동구 동호로 132
중부경로당,대구광역시 동구 동내로 6
상록아이투빌경로당,대구광역시 동구 동호로 47
주공APT4단지 경로당,대구광역시 동구 율하동로 73
진로이스트타운경로당,대구광역시 동구 아양로 218
태왕그린힐즈APT경로당,대구광역시 동구 파계로 46
신천2주공APT경로당,대구광역시 동구 송라로3길 41
진로아파트경로당,대구광역시 동구 아양로 218
서호2경로당,대구광역시 동구 안심로51길 14
강나루타운경로당,대구광역시 동구 효동로 108
봉무청구새들마을아파트경로당,대구광역시 동구 팔공로 322-5
영남네오빌APT경로당,대구광역시 동구 동촌로 190
신서그린빌경로당,대구광역시 동구 반야월북로 251
팔공보성3차경로당,대구광역시 동구 파계로 71
부민스위트빌 노인정,대구광역시 동구 해동로2길 37
부민스위트빌경로당,대구광역시 동구 해동로2길 3
신암그린타운경로당,대구광역시 동구 신성로 30
신천4동제2경로당,대구광역시 동구 동부로32길 47-11
도동제1경로당,대구광역시 동구 도평로 121
부동경로당,대구광역시 동구 부동길 183
방촌제3경로당,대구광역시 동구 방촌로1길 102
신무경로당,대구광역시 동구 용천로 399
천일맨션경로당,대구광역시 동구 율하동로24길 14
신암3동경로당,대구광역시 동구 아양로8길 10-1
검사제1경로당,대구광역시 동구 해동로 178
진인1동경로당,대구광역시 동구 갓바위로12길 35
율하경로당,대구광역시 동구 반야월로22길 20-2
안심효성타운APT경로당,대구광역시 동구 경안로 809
도동제2경로당,대구광역시 동구 팔공로26길 46
향산경로당,대구광역시 동구 도평로51길 10
화성아파트경로당,대구광역시 동구 율하동로20길 20
소목골경로당,대구광역시 동구 효신로8길 48
금강경로당,대구광역시 동구 금강로 235
